חםאקוםטÿ מעםמסטעוכüםûו;
ִאעא;ֲנולÿ;ּÊֻֿ1,לךל;ּÊֻֿ2,לךל;ּÊֻֿ3,לךל;ּÊֻֿ4,לךל;ּÊֻֿ5,לךל;ּÊֻֿ6,לךל;ּÊֻֿ7,לךל;ּÊֻֿ8,לךל;
13.02.2019;21:21:47;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
13.02.2019;21:21:55;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
13.02.2019;21:22:02;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
13.02.2019;21:22:10;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
13.02.2019;21:22:17;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
חםאקוםטÿ מעםמסטעוכüםûו;
ִאעא;ֲנולÿ;ּÊֻֿ1,לךל;ּÊֻֿ2,לךל;ּÊֻֿ3,לךל;ּÊֻֿ4,לךל;ּÊֻֿ5,לךל;ּÊֻֿ6,לךל;ּÊֻֿ7,לךל;ּÊֻֿ8,לךל;
13.02.2019;21:22:32;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
13.02.2019;21:22:40;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
13.02.2019;21:22:47;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
13.02.2019;21:22:55;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
13.02.2019;21:23:02;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
13.02.2019;21:23:10;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
חםאקוםטÿ מעםמסטעוכüםûו;
ִאעא;ֲנולÿ;ּÊֻֿ1,לךל;ּÊֻֿ2,לךל;ּÊֻֿ3,לךל;ּÊֻֿ4,לךל;ּÊֻֿ5,לךל;ּÊֻֿ6,לךל;ּÊֻֿ7,לךל;ּÊֻֿ8,לךל;
13.02.2019;21:23:32;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;
